scenario,policy,seed,complete,coverage,path_m,steps,pose_rmse_m,max_pose_error_m,risk_exposure,failure_steps,stabilization_revisits,recovery_budget_spent_m,decision_count
complementary,distance_advantage,4,True,1.0,56.5,226,0.5399390094974088,0.9115871256827832,25.2777807878605,8,0,0.0,11
complementary,distance_advantage,5,True,1.0,56.5,226,0.3525795810991047,0.6668193073782066,25.2777807878605,1,0,0.0,11
complementary,distance_advantage,6,True,1.0,56.5,226,0.5389045647676743,0.8358689991583603,25.2777807878605,3,0,0.0,11
complementary,distance_advantage,7,True,1.0,56.5,226,0.36575306066909047,0.6613378068342711,25.2777807878605,3,0,0.0,11
complementary,distance_advantage,8,True,1.0,56.5,226,0.20494020710261776,0.3880444645637292,25.2777807878605,0,0,0.0,11
complementary,distance_advantage,9,True,1.0,56.5,226,0.4931893842642318,0.7212318304341471,25.2777807878605,2,0,0.0,11
complementary,visual_risk,0,True,1.0,56.5,226,0.7561884187318024,1.3103772648278613,24.439533018227362,1,0,0.0,11
complementary,visual_risk,1,True,1.0,56.5,226,0.5779400847430421,0.9721854377103324,24.439533018227362,2,0,0.0,11
complementary,visual_risk,2,True,1.0,56.5,226,0.5492543674082162,0.8013903193413559,24.439533018227362,7,0,0.0,11
complementary,visual_risk,3,True,1.0,56.5,226,0.25209428737268696,0.463208892111691,24.439533018227362,0,0,0.0,11
complementary,visual_risk,4,True,1.0,56.5,226,0.5576144073725308,0.8180917872425222,24.439533018227362,11,0,0.0,11
complementary,visual_risk,5,True,1.0,56.5,226,0.2897435576679645,0.5005486215767071,24.439533018227362,0,0,0.0,11
complementary,visual_risk,6,True,1.0,56.5,226,0.5162394665464589,0.7530693906067708,24.439533018227362,4,0,0.0,11
complementary,visual_risk,7,True,1.0,56.5,226,0.4856570141765226,0.8459511004129793,24.439533018227362,7,0,0.0,11
complementary,visual_risk,8,True,1.0,56.5,226,0.21007260228817815,0.3880444645637292,24.439533018227362,0,0,0.0,11
complementary,visual_risk,9,True,1.0,56.5,226,0.608638953720128,0.887140629937299,24.439533018227362,2,0,0.0,11
complementary,cross_modal_risk,0,True,1.0,55.25,221,0.33248870795034996,0.5049154966450793,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,1,True,1.0,55.25,221,0.23833096618300523,0.41711620229430724,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,2,True,1.0,55.25,221,0.3106689459035255,0.46240141461831147,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,3,True,1.0,55.25,221,0.1897478756821818,0.3203251608720525,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,4,True,1.0,55.25,221,0.4454463882119861,0.5896855207477755,17.707314074217436,5,1,12.5,10
complementary,cross_modal_risk,5,True,1.0,55.25,221,0.26141497082254356,0.3863743093091874,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,6,True,1.0,55.25,221,0.31544928429596375,0.5258289500328218,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,7,True,1.0,55.25,221,0.24226272243448826,0.4239662940402326,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,8,True,1.0,55.25,221,0.18901575516659522,0.3880444645637292,17.707314074217436,0,1,12.5,10
complementary,cross_modal_risk,9,True,1.0,55.25,221,0.36196908941966144,0.6043737867026804,17.707314074217436,2,1,12.5,10
common_mode,nearest,0,True,1.0,52.5,210,0.5264940916321486,0.9686835501058697,24.903699411965064,6,0,0.0,11
common_mode,nearest,1,True,1.0,52.5,210,0.5031003180058624,1.0222754325955148,24.903699411965064,4,0,0.0,11
common_mode,nearest,2,True,1.0,52.5,210,0.5011307829958961,0.8107453031712633,24.903699411965064,4,0,0.0,11
common_mode,nearest,3,True,1.0,52.5,210,0.25542443742820325,0.6215269374891478,24.903699411965064,2,0,0.0,11
common_mode,nearest,4,True,1.0,52.5,210,0.5445318403347665,0.8699238880490824,24.903699411965064,2,0,0.0,11
common_mode,nearest,5,True,1.0,52.5,210,0.5761965499587528,1.0315590088344333,24.903699411965064,6,0,0.0,11
common_mode,nearest,6,True,1.0,52.5,210,0.5413514837393164,0.8412499927589197,24.903699411965064,13,0,0.0,11
common_mode,nearest,7,True,1.0,52.5,210,0.6445840255737605,0.9684387814854267,24.903699411965064,4,0,0.0,11
common_mode,nearest,8,True,1.0,52.5,210,0.5083946766063743,0.9102033581587825,24.903699411965064,5,0,0.0,11
common_mode,nearest,9,True,1.0,52.5,210,0.5761116513469946,0.8629011356492192,24.903699411965064,9,0,0.0,11
common_mode,information_gain,0,True,1.0,52.5,210,0.5264940916321486,0.9686835501058697,24.903699411965064,6,0,0.0,11
common_mode,information_gain,1,True,1.0,52.5,210,0.5031003180058624,1.0222754325955148,24.903699411965064,4,0,0.0,11
common_mode,information_gain,2,True,1.0,52.5,210,0.5011307829958961,0.8107453031712633,24.903699411965064,4,0,0.0,11
common_mode,information_gain,3,True,1.0,52.5,210,0.25542443742820325,0.6215269374891478,24.903699411965064,2,0,0.0,11
common_mode,information_gain,4,True,1.0,52.5,210,0.5445318403347665,0.8699238880490824,24.903699411965064,2,0,0.0,11
common_mode,information_gain,5,True,1.0,52.5,210,0.5761965499587528,1.0315590088344333,24.903699411965064,6,0,0.0,11
common_mode,information_gain,6,True,1.0,52.5,210,0.5413514837393164,0.8412499927589197,24.903699411965064,13,0,0.0,11
common_mode,information_gain,7,True,1.0,52.5,210,0.6445840255737605,0.9684387814854267,24.903699411965064,4,0,0.0,11
common_mode,information_gain,8,True,1.0,52.5,210,0.5083946766063743,0.9102033581587825,24.903699411965064,5,0,0.0,11
common_mode,information_gain,9,True,1.0,52.5,210,0.5761116513469946,0.8629011356492192,24.903699411965064,9,0,0.0,11
common_mode,distance_advantage,0,True,1.0,56.5,226,0.41524941558184053,0.8595736394762137,26.784604090485267,6,0,0.0,11
common_mode,distance_advantage,1,True,1.0,56.5,226,0.49438553587212164,0.9907345660878312,26.784604090485267,2,0,0.0,11
common_mode,distance_advantage,2,True,1.0,56.5,226,0.6552437520703299,1.0459521788976711,26.784604090485267,8,0,0.0,11
common_mode,distance_advantage,3,True,1.0,56.5,226,0.2597832743678316,0.4297101459994744,26.784604090485267,0,0,0.0,11
common_mode,distance_advantage,4,True,1.0,56.5,226,0.632939515376295,0.9809732941656601,26.784604090485267,4,0,0.0,11
common_mode,distance_advantage,5,True,1.0,56.5,226,0.38752911652008426,0.6604587322399547,26.784604090485267,1,0,0.0,11
common_mode,distance_advantage,6,True,1.0,56.5,226,0.7226282761760343,1.007929729755043,26.784604090485267,2,0,0.0,11
common_mode,distance_advantage,7,True,1.0,56.5,226,0.4543903910935474,0.7576999928979284,26.784604090485267,2,0,0.0,11
common_mode,distance_advantage,8,True,1.0,56.5,226,0.24657537856182687,0.5063678046407329,26.784604090485267,0,0,0.0,11
common_mode,distance_advantage,9,True,1.0,56.5,226,0.6175244151695519,0.8519523999870208,26.784604090485267,8,0,0.0,11
common_mode,visual_risk,0,True,1.0,56.5,226,0.5962875027886559,1.1014037706522033,25.96063356788145,4,0,0.0,11
common_mode,visual_risk,1,True,1.0,56.5,226,0.618926517496167,1.0384481111991992,25.96063356788145,1,0,0.0,11
common_mode,visual_risk,2,True,1.0,56.5,226,0.670213491121114,0.9362612354368033,25.96063356788145,3,0,0.0,11
common_mode,visual_risk,3,True,1.0,56.5,226,0.3632758277721282,0.6011248181976027,25.96063356788145,1,0,0.0,11
common_mode,visual_risk,4,True,1.0,56.5,226,0.6489875799086404,0.8871835778160374,25.96063356788145,3,0,0.0,11
common_mode,visual_risk,5,True,1.0,56.5,226,0.33957663229757384,0.5893576785052058,25.96063356788145,1,0,0.0,11
common_mode,visual_risk,6,True,1.0,56.5,226,0.7068821286127561,0.9755949915383973,25.96063356788145,2,0,0.0,11
common_mode,visual_risk,7,True,1.0,56.5,226,0.5714319910324421,0.9387719504023312,25.96063356788145,2,0,0.0,11
common_mode,visual_risk,8,True,1.0,56.5,226,0.23411134000141,0.5063678046407329,25.96063356788145,0,0,0.0,11
common_mode,visual_risk,9,True,1.0,56.5,226,0.7368412676415853,1.0258664264113446,25.96063356788145,1,0,0.0,11
common_mode,cross_modal_risk,0,True,1.0,61.5,246,0.2828493462306378,0.6011663603334346,25.301500665820235,2,1,12.5,11
common_mode,cross_modal_risk,1,True,1.0,61.5,246,0.32695535629327777,0.7088862864708099,25.301500665820235,2,1,12.5,11
common_mode,cross_modal_risk,2,True,1.0,61.5,246,0.3595851955325045,0.6017180577995234,25.301500665820235,4,1,12.5,11
common_mode,cross_modal_risk,3,True,1.0,61.5,246,0.28441033960515083,0.45935747825057244,25.301500665820235,0,1,12.5,11
common_mode,cross_modal_risk,4,True,1.0,61.5,246,0.6158597689216142,0.9915104109712577,25.301500665820235,3,1,12.5,11
common_mode,cross_modal_risk,5,True,1.0,61.5,246,0.2812669673853895,0.4817592902662945,25.301500665820235,0,1,12.5,11
common_mode,cross_modal_risk,6,True,1.0,61.5,246,0.4692431901090094,0.7448616400216012,25.301500665820235,2,1,12.5,11
common_mode,cross_modal_risk,7,True,1.0,61.5,246,0.3360905438024519,0.5414233368495311,25.301500665820235,0,1,12.5,11
common_mode,cross_modal_risk,8,True,1.0,61.5,246,0.3286402525438594,0.7398223182829524,25.301500665820235,2,1,12.5,11
common_mode,cross_modal_risk,9,True,1.0,61.5,246,0.505614055957733,0.751037150200643,25.301500665820235,4,1,12.5,11
